,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
93,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Industry,10,0.01,1.91,0.76,55.44,Weight is well distributed over instruments.,1.54,-1
94,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Sector,10,0.01,1.93,0.82,56.11,Weight is well distributed over instruments.,1.55,-1
95,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Market,10,0.01,1.77,0.8,56.49,Weight is well distributed over instruments.,1.49,-1
96,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Sector,10,0.08,1.93,0.82,56.11,Weight is well distributed over instruments.,1.55,-1
97,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Market,10,0.08,1.77,0.8,56.49,Weight is well distributed over instruments.,1.49,-1
98,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Subindustry,10,0.01,2.09,0.79,54.67,Weight is well distributed over instruments.,1.57,-1
99,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Industry,10,0.01,1.93,0.76,55.46,Weight is well distributed over instruments.,1.54,-1
100,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Sector,10,0.01,1.89,0.79,56.08,Weight is well distributed over instruments.,1.52,-1
101,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Market,10,0.01,1.7,0.75,56.42,Weight is well distributed over instruments.,1.46,-1
102,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Subindustry,10,0.01,2.04,0.76,54.7,Weight is well distributed over instruments.,1.54,-1
103,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Industry,10,0.01,1.87,0.73,55.5,Weight is well distributed over instruments.,1.5,-1
104,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Sector,10,0.01,1.86,0.77,56.14,Weight is well distributed over instruments.,1.49,-1
105,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Market,10,0.01,1.67,0.73,56.5,Weight is well distributed over instruments.,1.44,-1
106,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Subindustry,10,0.01,2.02,0.75,54.74,Weight is well distributed over instruments.,1.53,-1
107,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Industry,10,0.01,1.85,0.72,55.53,Weight is well distributed over instruments.,1.5,-1
108,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Sector,10,0.01,1.84,0.76,56.18,Weight is well distributed over instruments.,1.49,-1
109,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Market,10,0.01,1.67,0.73,56.54,Weight is well distributed over instruments.,1.44,-1
110,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Subindustry,10,0.01,2.05,0.77,54.76,Weight is well distributed over instruments.,1.53,-1
111,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Industry,10,0.01,1.87,0.73,55.55,Weight is well distributed over instruments.,1.49,-1
112,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Sector,10,0.01,1.87,0.78,56.21,Weight is well distributed over instruments.,1.5,-1
113,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Market,10,0.01,1.69,0.75,56.58,Weight is well distributed over instruments.,1.44,-1
114,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Subindustry,10,0.01,2.03,0.76,54.76,Weight is well distributed over instruments.,1.54,-1
115,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Industry,10,0.01,1.86,0.73,55.55,Weight is well distributed over instruments.,1.5,-1
116,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Sector,10,0.01,1.88,0.78,56.22,Weight is well distributed over instruments.,1.51,-1
117,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Market,10,0.01,1.7,0.75,56.59,Weight is well distributed over instruments.,1.45,-1
118,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Subindustry,10,0.01,1.99,0.74,54.75,Weight is well distributed over instruments.,1.53,-1
119,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Industry,10,0.01,1.82,0.71,55.54,Weight is well distributed over instruments.,1.48,-1
120,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Sector,10,0.01,1.82,0.71,55.54,Weight is well distributed over instruments.,1.48,-1
121,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Market,10,0.01,1.85,0.77,56.21,Weight is well distributed over instruments.,1.49,-1
122,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Subindustry,10,0.01,1.98,0.74,54.74,Weight is well distributed over instruments.,1.52,-1
123,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Industry,10,0.01,1.83,0.71,55.53,Weight is well distributed over instruments.,1.48,-1
124,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Sector,10,0.01,1.85,0.77,56.21,Weight is well distributed over instruments.,1.49,-1
125,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Market,10,0.01,1.69,0.75,56.58,Weight is well distributed over instruments.,1.43,-1
126,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Subindustry,10,0.01,1.91,0.69,54.72,Weight is well distributed over instruments.,1.56,-1
127,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Industry,10,0.01,1.77,0.67,55.52,Weight is well distributed over instruments.,1.51,-1
